Shape Area,Quality Flags,GeoUID,Type,Households,CD_UID,Dwellings,Population,name,CSD_UID,CT_UID,CMA_UID,Region Name,Area (sq km),Population (n),Total private dwellings (n),Population density per square kilometre,Median Value of Dwellings ($),Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),Occupied private dwellings (n),Single-detached house,Semi-detached house,Row house,Apartment or flat in a duplex,Apartment with <5 stories,Apartment with 5 or more stories,Other single attached house,No Bedrooms,1 Bedroom,2 Bedrooms,3 Bedrooms,4 or more bedrooms,Dwelling Density
0.061,"0","35204498",DA,"189","3520","209","463","35204498","3520005","5350083.00","35535","35204498",0.061,463,209,7590.2,1460000,1040,1600,190,30,55,15,5,85,0,0,0,25,45,70,50,3426.22950819672
0.0534,"0","35204499",DA,"228","3520","247","494","35204499","3520005","5350083.00","35535","35204499",0.0534,494,247,9250.9,1200000,1170,1200,230,10,50,0,5,165,0,0,0,100,80,55,15,4625.46816479401
0.0998,"0","35204500",DA,"462","3520","493","657","35204500","3520005","5350083.00","35535","35204500",0.0998,657,493,6583.2,700000,1840,512,465,5,20,0,0,40,390,0,125,235,35,15,20,4939.87975951904
0.0566,"0","35204501",DA,"186","3520","194","458","35204501","3520005","5350083.00","35535","35204501",0.0566,458,194,8091.9,1300000,1470,1680,185,80,20,0,15,60,0,5,0,25,60,65,60,3427.56183745583
0.0558,"0","35204502",DA,"263","3520","289","571","35204502","3520005","5350083.00","35535","35204502",0.0558,571,289,10233,1300000,2500,1000,265,40,60,0,25,130,0,10,15,85,20,70,55,5179.21146953405
0.0598,"0","35204503",DA,"330","3520","363","555","35204503","3520005","5350124.00","35535","35204503",0.0598,555,363,9280.9,,,1570,330,10,0,0,5,25,285,5,35,270,20,10,10,6070.23411371237
0.0847,"0","35204504",DA,"244","3520","293","547","35204504","3520005","5350124.00","35535","35204504",0.0847,547,293,6458.1,1500000,1230,1540,245,20,5,15,5,135,65,0,20,75,70,55,15,3459.26800472255
0.0405,"0","35204505",DA,"580","3520","658","929","35204505","3520005","5350124.00","35535","35204505",0.0405,929,658,22938.3,960000,1880,1880,580,0,0,15,20,0,540,0,40,315,195,45,0,16246.9135802469
0.0471,"0","35204506",DA,"520","3520","561","855","35204506","3520005","5350124.00","35535","35204506",0.0471,855,561,18152.9,1390000,2440,2080,520,0,0,0,30,5,485,0,10,195,295,25,0,11910.8280254777
0.0309,"0","35204507",DA,"700","3520","830","1026","35204507","3520005","5350124.00","35535","35204507",0.0309,1026,830,33203.9,900000,2060,1940,700,0,0,0,0,0,700,0,0,405,215,50,0,26860.8414239482
